"GM12892_Rep1"	"GM12892_Rep2"	"GM12892_Rep3"	"H1-hESC_Rep1"	"H1-hESC_Rep2"	"H1-hESC_Rep3"	"H1-hESC_Rep4"	"MCF-7_Rep1"	"MCF-7_Rep2"	"MCF-7_Rep3"
"CD86"	959	452	499	8	3	1	3	6	326	3
"CD8A"	2	6	1	8	12	8	4	47	12	32
"CD8B"	1	0	0	10	21	15	3	0	0	0
"CD9"	327	237	160	4369	5180	4723	2938	16928	23441	19641
"CD93"	324	22	104	4	3	1	3	1	0	0
"CD96"	112	17	68	4	5	6	2	14	8	4
"CD97"	3933	1683	1042	99	105	105	34	993	2113	1704
"CD99"	2	1	1	0	2	2	0	4	1	2
"CD99L2"	1382	545	419	484	610	553	311	1728	1384	1929
"CD99P1"	1	0	0	0	0	0	0	0	0	0
"CDA"	0	0	0	82	172	145	54	14	12095	17
"CDADC1"	220	99	122	64	61	55	65	180	216	83
"CDAN1"	793	257	275	730	747	715	331	584	734	957
"CDC123"	4206	2411	2225	4597	5117	4649	3788	4125	6271	4355
"CDC14A"	240	257	174	323	227	260	226	293	226	165
"CDC14B"	12	93	9	1950	2115	2126	1498	1032	766	432
"CDC14C"	0	0	0	1	0	0	0	0	0	0
"CDC16"	2369	1250	1181	2556	2561	2466	1634	2499	2919	2033
"CDC20"	2090	873	680	7945	7348	6668	3496	6126	8211	8909
"CDC20B"	0	0	0	3	3	4	0	2	0	0
"CDC23"	2459	1179	1145	1542	1523	1516	1132	3507	1902	2421
"CDC25A"	1429	390	580	3060	3143	3067	1986	1015	2014	880
"CDC25B"	1904	632	536	2044	1837	1790	1066	5858	5531	11448
"CDC25C"	332	156	169	690	669	690	446	877	362	504
"CDC26"	1020	425	402	856	802	676	847	2599	1419	1373
"CDC27"	3175	1959	1925	1503	1078	1136	1177	4045	5617	1720
"CDC34"	1050	514	344	2717	3207	2805	1202	1884	2240	3232
"CDC37"	8907	2748	2247	7701	8569	7777	3668	12570	11829	21713
"CDC37L1"	284	282	245	474	430	326	366	710	821	324
"CDC40"	1509	1024	1039	977	730	841	792	1797	1389	806
"CDC42"	17684	9247	9247	5298	4655	4388	4556	13682	17396	5353
"CDC42BPA"	56	8	30	2144	1695	1828	1539	2322	3984	1672
"CDC42BPB"	2104	921	624	7819	8205	8122	4290	14350	8771	21557
"CDC42BPG"	38	19	11	1213	1045	1097	435	2835	1612	6268
"CDC42EP1"	0	3	0	540	587	546	223	761	2643	1435
"CDC42EP2"	55	19	10	577	652	597	264	257	1542	535
"CDC42EP3"	3460	1111	1827	797	638	636	563	258	4198	63
"CDC42EP4"	225	80	93	604	758	689	317	1822	2087	2522
"CDC42EP5"	56	30	12	35	84	41	20	47	521	52
"CDC42SE1"	4243	2300	1663	2230	2079	2152	1328	9145	6111	7714
"CDC42SE2"	5607	4269	3832	959	846	884	885	2644	2442	1082
"CDC45"	2171	488	807	1334	1409	1300	785	2419	2228	4358
"CDC5L"	2382	949	1275	1760	1559	1598	1591	3128	2699	1696
"CDC6"	2147	666	1169	3815	3405	3305	2846	1868	3822	1818
"CDC7"	1220	657	860	1108	1051	1018	1074	849	565	332
"CDC73"	1344	940	914	1394	1207	1279	1161	3683	2982	1988
"CDCA2"	1221	440	623	1016	996	989	833	1810	1600	927
"CDCA3"	891	346	363	906	782	774	490	1441	1181	2031
"CDCA4"	3679	973	1126	2101	2701	2517	1059	4044	3749	5580
"CDCA5"	3279	1011	1262	3920	4058	3693	2236	4957	3001	5867
"CDCA7"	2830	656	1437	2912	2423	2354	2024	1068	1765	662
"CDCA7L"	2322	1139	921	3576	3711	3274	2545	1608	1471	1272
"CDCA8"	1647	684	751	1895	2032	1924	1010	3324	2585	4005
"CDCP1"	53	4	23	1380	1502	1449	798	1	21037	0
"CDCP2"	0	0	1	1	1	3	1	0	0	0
"CDH1"	117	1481	87	14247	14799	14866	9410	33163	24554	39943
"CDH10"	0	0	0	5	4	9	5	2	16	0
"CDH11"	1	6	1	194	158	181	153	133	2536	117
"CDH12"	10	0	5	11	6	10	10	25	6	5
"CDH13"	4	0	3	156	190	179	105	9	10919	4
"CDH15"	9	5	3	24	37	27	13	11	4	23
"CDH16"	1	0	0	0	0	0	0	0	31	2
"CDH17"	113	14	53	2	3	4	1	0	0	0
"CDH18"	0	0	0	29	11	14	14	107	7	182
"CDH19"	1	0	0	0	2	0	0	0	0	0
"CDH2"	5	27	3	2268	1698	1853	1636	11	1	3
"CDH20"	0	0	0	8	7	11	5	0	5	2
"CDH22"	0	4	0	6	42	26	4	1	0	4
"CDH23"	71	43	18	146	281	263	81	6	4	2
"CDH24"	148	54	37	1289	1264	1210	575	1960	288	4019
"CDH26"	9	1	8	40	32	29	41	769	28	1118
"CDH3"	1	2	0	8805	10432	9426	4698	5597	50803	10378
"CDH4"	0	0	2	560	631	571	191	3	1656	11
"CDH5"	1	0	0	21	14	22	12	19	0	5
"CDH6"	0	1	0	141	85	91	98	1	0	0
"CDH7"	0	1	1	54	47	37	30	8	0	17
"CDH8"	1	0	0	185	183	206	126	0	3	0
"CDH9"	0	1	0	57	45	53	60	0	0	0
"CDHR1"	257	5	73	611	725	688	332	0	997	0
"CDHR2"	4	4	2	10	9	8	0	26	5	59
"CDHR3"	0	1	6	70	66	71	34	7	1	5
"CDHR4"	0	1	1	10	20	19	11	2	0	1
"CDHR5"	13	18	8	6	8	4	2	4	3	6
"CDIPT"	1344	549	340	2783	2968	2583	1420	8832	3415	13019
"CDK1"	2497	1454	1747	1377	1308	1254	1308	3537	3068	1074
"CDK10"	1295	508	434	1642	1694	1626	736	3170	1440	5071
"CDK11A"	620	155	157	853	835	751	475	895	544	935
"CDK11B"	957	275	231	1407	1629	1460	905	1448	1485	1865
"CDK12"	3334	1869	1673	3077	2608	3066	2001	2735	4475	2255
"CDK13"	1764	1263	1001	2112	1907	2018	1417	3394	2329	2715
"CDK14"	369	545	192	794	636	662	615	532	1268	364
"CDK15"	0	0	0	0	1	0	0	0	29	0
"CDK16"	2194	805	655	5340	6322	6144	2673	6113	8118	12632
"CDK17"	1022	939	738	485	366	366	374	1318	1569	569
"CDK18"	18	4	3	2184	2925	2887	966	796	2745	1042
"CDK19"	1088	805	744	300	246	235	203	3275	1005	1553
"CDK2"	4562	1764	2275	1023	1103	1039	799	4139	2622	2922
"CDK20"	1	0	0	179	231	196	97	591	247	999
"CDK2AP1"	928	1251	492	3890	3965	3393	2821	7673	8008	6765
"CDK2AP2"	1886	428	522	1150	1154	990	545	2927	1601	4462
"CDK3"	0	0	0	0	0	0	0	0	0	0
"CDK4"	6629	2544	2834	6638	6579	6054	3405	14799	5263	19184
"CDK5"	688	324	243	637	680	632	347	1076	900	1515
"CDK5R1"	4400	2304	1604	559	516	578	309	254	575	215
"CDK5R2"	15	1	0	4	8	16	5	18	11	15
"CDK5RAP1"	1111	409	470	1307	1334	1173	745	1108	1313	1335
"CDK5RAP2"	3634	1108	1371	3099	2882	2869	1991	6298	3105	6204
"CDK5RAP3"	5454	2341	2119	2945	3643	3647	1558	7221	2351	10077
"CDK6"	3896	2213	3186	614	618	658	539	1413	10255	780
"CDK7"	1516	1055	1054	1209	1211	1042	1136	2075	2194	902
"CDK8"	581	309	378	724	684	674	484	1237	1086	1102
"CDK9"	2769	1070	825	3108	3162	2883	1665	4746	2941	5859
"CDKAL1"	964	527	617	641	603	617	494	496	467	289
"CDKL1"	55	39	38	18	24	27	21	7	73	14
"CDKL2"	9	4	4	63	38	48	61	15	93	3
"CDKL3"	35	38	36	31	23	14	31	60	28	13
"CDKL4"	0	6	4	0	0	0	2	2	0	0
"CDKL5"	254	289	117	294	195	271	186	138	104	131
"CDKN1A"	11236	10074	4944	1532	1283	1011	745	9085	26853	10862
"CDKN1B"	916	852	560	660	761	647	513	3864	833	1862
"CDKN1C"	2	9	2	393	419	421	134	84	2	48
"CDKN2A"	341	102	99	3	5	3	2	18	1780	21
"CDKN2AIP"	1033	494	463	509	494	438	320	342	929	228
"CDKN2AIPNL"	856	387	354	894	1162	1107	631	1074	1007	934
"CDKN2B"	6	9	6	21	3	7	8	3168	1873	1893
"CDKN2B-AS"	25	3	9	1	0	0	0	398	34	195
"CDKN2C"	1075	360	462	0	0	0	0	1183	423	1565
"CDKN2D"	288	109	137	99	77	71	38	344	256	640
"CDKN3"	701	354	382	392	498	394	302	3074	1264	1621
"CDNF"	15	23	6	17	11	17	9	25	42	13
"CDO1"	0	10	0	593	532	533	378	2	1	0
"CDON"	7	29	4	1307	963	1145	785	362	89	322
"CDR1"	6	4	4	91	138	99	32	18	0	24
"CDR2"	883	583	487	1287	1338	1205	767	1284	1946	1043
"CDR2L"	3	1	1	1951	2141	2062	929	1638	3391	2284
"CDRT1"	1	1	0	4	3	4	1	18	15	24
"CDRT15"	3	0	0	0	1	0	1	0	0	0
"CDRT15L2"	0	0	0	0	0	0	0	1	0	0
"CDRT15P1"	6	7	8	37	23	31	18	33	7	41
"CDRT15P2"	0	0	0	0	0	0	0	0	0	0
"CDRT4"	0	0	0	0	0	0	1	0	0	0
"CDRT7"	0	0	0	0	0	0	0	0	0	0
"CDS1"	5	1	3	680	654	648	555	2353	3016	1488
"CDS2"	2409	1199	1358	3493	3156	3264	2346	1582	2947	1598
"CDSN"	1	0	0	4	0	2	3	72	420	443
"CDT1"	2982	574	247	4701	4770	4429	1702	4333	1883	9668
"CDV3"	10809	3878	5193	4655	4301	4255	3731	13798	11068	9082
"CDX1"	1	0	0	0	1	0	0	0	0	0
"CDX2"	3	0	1	5	3	2	3	0	0	1
"CDX4"	0	0	0	58	62	62	31	0	0	0
"CDY1"	0	0	0	0	0	0	0	0	0	0
"CDY1B"	0	0	0	0	0	0	0	0	0	0
"CDY2A"	0	0	0	0	0	0	0	0	0	0
"CDY2B"	0	0	0	0	0	0	0	0	0	0
"CDYL"	1061	899	623	3012	2963	3094	1978	1980	1698	1558
"CDYL2"	441	187	145	41	20	44	22	1000	21	1251
"CEACAM1"	249	383	111	67	117	137	55	27	474	16
"CEACAM16"	0	0	0	0	0	0	0	0	0	0
"CEACAM18"	0	0	0	0	0	0	0	0	0	0
"CEACAM19"	16	8	7	111	137	135	59	38	96	47
"CEACAM20"	0	0	0	0	2	0	0	0	2	0
"CEACAM21"	101	56	55	2	3	1	0	1	0	1
"CEACAM22P"	8	6	4	8	4	5	2	5	6	3
"CEACAM3"	0	0	0	0	0	0	0	0	0	0
"CEACAM4"	0	0	0	0	0	0	0	0	0	0
"CEACAM5"	0	2	0	0	1	1	0	2000	0	950
"CEACAM6"	0	0	0	0	0	0	0	3667	17	1240
"CEACAM7"	0	0	1	0	0	0	0	19	0	2
"CEACAM8"	0	1	3	0	0	1	0	1	0	0
"CEBPA"	5	0	4	77	135	129	46	1465	111	1657
"CEBPB"	45	35	15	337	414	335	180	1765	3654	2174
"CEBPD"	56	7	12	63	52	46	19	185	1203	182
"CEBPE"	7	4	1	3	1	2	0	0	1	0
"CEBPG"	1853	532	615	1720	1721	1672	1216	2910	3347	1960
"CEBPZ"	3698	1761	2026	6611	5963	5639	5636	3521	4268	1613
"CECR1"	412	451	201	1653	2085	2085	1021	14	3	3
"CECR2"	5	1	4	5263	4711	5267	3228	31	6	22
"CECR3"	0	0	1	5	1	3	6	0	0	0
"CECR5"	2135	949	871	2621	3051	2869	1202	2802	2070	4064
"CECR5-AS1"	3	6	2	7	7	8	6	14	3	18
"CECR6"	7	1	1	553	574	655	287	61	8	69
"CECR7"	467	118	181	2	13	9	1	4	168	1
"CEL"	24	23	6	158	183	135	73	122	117	136
"CELA1"	0	2	0	0	1	0	0	0	0	0
"CELA2A"	0	0	0	0	0	0	0	0	0	0
"CELA2B"	0	0	0	0	0	0	0	0	0	0
"CELA3A"	0	0	1	0	0	0	1	0	0	0
"CELA3B"	0	0	0	1	0	0	0	0	0	1
"CELF1"	5576	3162	3184	9544	8794	8980	6613	8872	6037	7277
"CELF2"	6998	4045	3118	1324	1132	1213	873	1	76	0
"CELF3"	6	2	2	115	78	82	41	30	2	21
"CELF4"	2	2	0	50	75	79	40	3	0	3
"CELF5"	2	1	0	707	771	823	425	87	5	84
"CELF6"	97	35	60	4	3	4	4	22	0	27
"CELP"	0	2	0	3	2	0	1	2	0	0
"CELSR1"	50	76	10	1948	2177	2258	811	5604	8881	16347
"CELSR2"	37	18	10	4119	4280	4432	1731	37400	5480	107122
"CELSR3"	306	50	82	3383	3496	3658	1373	2748	165	5523
"CEMP1"	129	81	32	398	406	404	151	173	101	339
"CEND1"	440	55	47	90	139	138	42	10	2	24
"CENPA"	345	247	226	301	302	296	192	1311	614	596
"CENPB"	2446	804	459	2695	3089	2761	1166	8432	6605	17390
"CENPBD1"	275	166	129	437	570	474	264	1312	514	1592
"CENPC1"	1189	619	748	332	336	366	382	898	499	327
"CENPE"	1220	950	1105	1522	960	1013	1611	2611	3366	501
"CENPF"	4046	1759	1844	9540	7814	8313	7948	6673	3747	2513
"CENPH"	1404	714	798	1096	1372	1271	923	945	1115	650
"CENPI"	430	196	280	429	311	327	327	774	799	495
"CENPJ"	1872	685	897	1271	1144	1094	1089	1024	876	829
"CENPK"	947	654	1003	326	393	358	503	1040	911	267
"CENPL"	333	210	268	268	217	292	173	789	492	534
"CENPM"	1347	316	364	908	989	803	295	996	771	2204
"CENPN"	1263	461	634	1490	1410	1440	1274	6806	2341	4609
"CENPO"	1200	480	478	2334	2114	2153	1179	2427	1860	3950
"CENPP"	335	139	159	142	153	144	83	436	257	288
"CENPQ"	441	252	501	272	234	213	263	533	499	148
"CENPT"	1502	595	472	1688	1883	1746	752	1929	1286	3428
"CENPV"	1458	626	761	2555	3179	2862	1494	467	122	353
"CENPVL1"	0	0	0	0	0	0	0	0	0	0
"CENPW"	894	308	382	1060	1044	876	716	1099	1278	872
"CEP104"	1374	549	514	933	907	885	594	2165	2680	2302
"CEP112"	3	1	4	101	85	83	94	331	252	122
"CEP120"	984	449	634	492	485	497	399	1018	1231	429
"CEP128"	347	78	175	404	313	308	336	674	792	413
"CEP135"	848	425	758	383	331	331	385	553	423	245
"CEP152"	1059	680	764	886	591	682	720	630	579	388
"CEP164"	1596	544	614	853	878	925	407	1849	1997	2161
"CEP170"	2379	1456	1624	2934	2327	2457	2050	1096	2820	496
"CEP170P1"	6	2	1	29	35	31	20	5	9	3
"CEP19"	172	101	130	63	80	60	39	104	124	42
"CEP192"	2459	1642	1506	1365	1277	1332	933	1882	1519	1271
"CEP250"	2688	718	866	2085	2341	2313	1059	2934	3614	3451
"CEP290"	1550	961	1195	408	350	357	399	737	1312	189
"CEP350"	3506	2035	1980	1583	1263	1421	1338	4860	2405	2763
"CEP41"	591	247	274	282	279	280	219	895	650	558
"CEP44"	690	649	715	322	293	330	290	455	598	150
"CEP55"	1639	444	927	540	459	472	462	3583	3033	1583
"CEP57"	2840	1800	1890	1681	1396	1390	1620	1124	1570	469
"CEP57L1"	320	225	299	94	88	99	105	318	450	124
"CEP63"	925	448	437	489	482	497	386	1376	1011	726
"CEP68"	874	575	490	1784	1985	1981	1025	1119	679	986
"CEP70"	40	15	21	400	390	404	423	1232	415	374
"CEP72"	368	122	190	573	600	552	281	432	340	705
"CEP76"	397	207	221	477	367	416	319	614	447	515
"CEP78"	977	414	544	969	776	765	716	1438	988	846
"CEP85"	1242	485	645	2183	2164	2222	1276	1316	1355	1684
"CEP89"	396	195	163	273	285	315	187	968	888	709
"CEP95"	847	507	530	872	862	865	760	2517	642	1073
"CEP97"	432	261	360	347	241	283	264	310	741	213
"CEPT1"	1984	1858	1685	418	433	409	409	1410	1557	579
"CER1"	0	0	0	48	19	8	24	0	0	0
"CERCAM"	217	115	61	98	168	153	56	3122	3124	6819
"CERK"	1992	1320	922	3820	3589	3494	2086	851	2550	719
"CERKL"	76	47	20	6	10	7	5	12	66	24
"CERS1"	3	5	3	316	399	365	145	130	19	177
"CERS2"	2746	910	1147	5518	5801	5751	3227	21982	6419	26384
"CERS3"	2	6	1	4	9	5	0	1	16	0
"CERS4"	1073	576	404	2135	2282	2096	838	460	563	520
"CERS5"	947	517	484	1442	1710	1590	928	1702	1688	1749
"CERS6"	1365	560	954	1640	1377	1464	1363	2926	5679	1667
"CES1"	1	0	0	66	70	61	27	1	2	0
"CES1P1"	0	0	0	4	2	1	0	0	0	0
"CES1P2"	0	0	0	0	0	0	0	0	0	0
"CES2"	1403	627	432	808	1050	1046	498	1298	10433	1750
"CES3"	63	22	22	54	127	112	30	7	127	17
"CES4A"	105	75	44	9	24	22	10	144	94	255
"CES5A"	6	1	8	0	0	0	0	0	0	0
"CES5AP1"	0	0	0	0	0	0	0	0	0	0
"CETN1"	0	0	0	0	0	0	0	0	0	0
"CETN2"	852	403	471	656	744	594	727	3747	2923	1742
"CETN3"	754	520	631	255	322	281	379	1014	835	244
"CETN4P"	5	0	1	2	0	0	0	0	6	0
"CETP"	414	399	205	0	0	0	1	0	0	0
"CFB"	4	1	7	3	0	3	2	11	99	10
"CFC1"	0	0	0	0	0	0	0	0	0	0
"CFC1B"	0	0	0	0	0	0	0	0	0	0
"CFD"	17	7	5	30	33	53	22	202	57	476
"CFDP1"	1578	922	867	1818	2168	1995	1517	3357	1189	2041
"CFH"	0	1	1	0	0	0	3	4	150	0
"CFHR1"	0	1	0	0	0	0	0	1	0	0
"CFHR2"	0	0	0	0	0	0	0	0	0	0
"CFHR3"	0	0	0	1	2	2	3	5	0	2
"CFHR4"	0	0	0	0	0	0	0	0	0	0
"CFHR5"	0	0	0	0	0	1	0	0	0	0
"CFI"	0	0	0	0	0	0	2	0	30	0
"CFL1"	40456	10277	11258	29662	33187	28481	17748	68413	53276	97404
"CFL1P1"	7	2	5	4	5	2	1	3	1	0
"CFL2"	466	230	295	295	253	246	279	1169	1658	528
"CFLAR"	9012	4864	5101	804	1039	976	500	1991	2470	1509
"CFLAR-AS1"	1	7	7	3	0	0	0	1	7	0
"CFP"	300	608	75	29	45	35	19	16	0	21
"CFTR"	6	4	3	88	113	119	58	3	1	0
"CG030"	84	88	152	62	51	40	50	49	8	18
"CGA"	0	0	0	0	0	0	0	4	0	1
"CGB"	0	0	0	0	0	0	0	0	0	0
"CGB1"	0	0	0	0	0	0	0	0	0	0
"CGB2"	0	0	0	4	4	0	0	1	1	0
"CGB5"	0	0	0	2	0	3	0	1	0	0
"CGB7"	0	0	0	16	20	29	2	26	53	15
"CGB8"	0	0	0	0	0	1	0	1	0	3
"CGGBP1"	3360	2160	2248	1739	1468	1533	1524	7830	3726	2891
"CGN"	387	147	118	5655	4915	4845	2741	4452	300	4526
"CGNL1"	3	4	4	7854	8097	8464	4612	123	9	180
"CGREF1"	246	20	123	74	109	103	38	670	254	1272
"CGRRF1"	307	175	165	247	229	227	185	728	367	355
"CH25H"	1	0	1	27	21	22	9	1	1	0
"CHAC1"	133	63	34	1275	1461	1465	567	135	1091	202
"CHAC2"	326	127	245	150	153	164	124	399	484	161
"CHAD"	9	2	6	19	16	15	8	5	13	12
"CHADL"	10	3	3	26	28	23	3	25	65	47
"CHAF1A"	2892	703	955	7157	7407	6779	3757	2130	3407	3203
"CHAF1B"	2048	545	841	1157	1180	1081	766	1193	1233	1074
"CHAMP1"	2029	720	904	1652	1527	1468	1076	1524	1738	758
"CHAT"	0	0	0	0	0	0	0	0	0	0
"CHCHD1"	1652	786	679	1381	1601	1188	854	2485	1867	1775
"CHCHD10"	2942	951	806	698	1076	1011	290	912	976	1346
"CHCHD2"	13306	6981	5314	2033	2454	2067	1287	11184	12543	14251
"CHCHD3"	3885	1671	1882	3743	3280	3001	2385	4464	2783	3495
"CHCHD4"	514	333	289	574	532	558	422	997	1040	808
"CHCHD5"	743	257	190	578	713	629	201	1362	1295	2647
"CHCHD6"	480	197	189	792	957	816	416	697	959	939
"CHCHD7"	1919	1086	827	815	894	766	776	1404	1252	604
"CHCHD8"	1975	838	957	2488	3337	3292	2171	3073	2709	4901
"CHD1"	2149	1556	1560	1947	1599	1646	1953	3458	2232	1100
"CHD1L"	2881	1571	1374	1864	2012	2021	1296	4192	2969	2793
"CHD2"	8494	4004	4054	4824	3697	3844	3110	6665	4604	5106
"CHD3"	7799	4302	2371	2274	2435	2670	1267	15959	8535	18972
"CHD4"	13586	5212	4648	20310	21678	21151	11577	22851	16399	27092
"CHD5"	27	26	14	152	276	226	70	790	37	1106
"CHD6"	3778	1348	1624	3256	3214	3430	1938	9530	1908	7971
"CHD7"	3416	1519	1346	6986	8045	7702	4954	4593	2009	3974
"CHD8"	4445	1870	1921	8426	8419	8401	5513	9841	6258	10662
"CHD9"	2844	2004	1972	1325	1087	1148	1154	1962	2920	1076
"CHDH"	732	1007	239	856	877	922	456	895	79	1464
"CHEK1"	1897	775	1168	2541	2202	2265	2156	1126	2100	609
"CHEK2"	669	323	382	1377	1570	1566	1149	1702	780	1762
"CHERP"	3580	1087	449	4122	4129	3955	1842	4667	3270	6872
"CHFR"	1700	823	521	1893	1986	1902	829	2662	1754	4064
"CHGA"	6	0	0	2136	2532	2267	842	8	2	8
"CHGB"	1	4	2	151	209	184	87	0	31	0
"CHI3L1"	136	13	44	10	16	8	2	2	6	5
"CHI3L2"	55	5158	35	1	0	0	0	0	19	0
"CHIA"	0	0	0	0	0	0	0	0	0	1
"CHIC1"	556	377	332	293	212	256	280	532	431	154
"CHIC2"	330	156	118	137	143	104	62	343	876	241
"CHID1"	1761	610	500	2127	2611	2220	998	1571	3032	3140
"CHIT1"	5	2	9	1	3	2	1	0	0	0
"CHKA"	1093	784	618	2627	2088	2017	1528	2003	333	1530
"CHKB"	103	43	55	86	70	64	31	75	93	64
"CHKB-CPT1B"	8	5	4	4	6	4	0	4	1	3
"CHL1"	15	21	9	4	5	4	7	0	0	0
"CHM"	1008	625	919	570	414	466	433	873	1439	432
"CHML"	1146	587	800	1970	1578	1820	2018	3595	1488	710
"CHMP1A"	2787	1183	804	3139	3372	3198	1332	10092	5513	19240
"CHMP1B"	1615	1040	781	2212	2214	2229	1676	5174	3526	3431
"CHMP2A"	3921	1544	1418	1846	2424	2069	1022	2934	3720	4464
"CHMP2B"	1334	745	771	926	716	757	826	5772	2696	1879
"CHMP3"	181	96	66	61	102	69	84	874	880	484
"CHMP4A"	2316	596	1008	930	1121	1046	715	3749	1424	3732
"CHMP4B"	4733	2158	1400	2529	3064	2577	1610	5508	5228	5197
"CHMP4C"	25	10	16	131	101	95	91	1206	1096	522
"CHMP5"	2644	1906	1896	1037	1110	999	897	3126	3123	2160
"CHMP6"	804	236	182	417	534	473	142	893	1052	1646
"CHMP7"	918	633	406	1584	1700	1578	933	2743	1932	2574
"CHN1"	3	7	4	1633	1485	1526	1198	752	302	776
"CHN2"	0	0	1	60	80	86	44	75	5	52
"CHODL"	3	9	1	21	14	18	17	0	0	1
"CHODL-AS1"	0	0	0	0	0	0	0	0	0	0
"CHORDC1"	1235	831	811	1317	1273	1226	1278	1425	1680	663
"CHP"	1353	970	963	3656	3658	3779	2364	3938	9404	3079
"CHP2"	0	0	0	144	225	214	96	0	1	0
"CHPF"	412	154	24	3366	3500	3062	1114	4940	10104	10410
"CHPF2"	1853	836	459	840	970	944	417	2773	4246	4693
"CHPT1"	331	75	238	449	421	383	342	1105	907	739
"CHRAC1"	1324	520	644	937	912	929	602	2358	1275	1574
"CHRD"	3	1	2	67	39	58	22	129	0	467
"CHRDL1"	0	0	0	524	578	513	374	0	3	0
"CHRDL2"	0	0	0	13	22	17	10	0	0	0
"CHRFAM7A"	0	0	0	32	44	33	13	2	3	2
"CHRM1"	0	0	0	32	45	30	11	9	0	29
"CHRM2"	0	0	0	7	1	1	1	0	0	0
"CHRM3"	27	15	11	448	454	458	133	538	31	980
"CHRM4"	33	0	1	29	32	33	5	5	2	14
"CHRM5"	5	0	1	1	2	2	0	4	6	2
"CHRNA1"	1	0	0	0	6	6	2	0	1	0
"CHRNA10"	7	6	4	31	13	13	16	23	17	35
"CHRNA2"	6	11	8	1	2	1	1	1	0	0
"CHRNA3"	20	3	10	170	195	167	124	92	22	71
"CHRNA4"	19	5	6	220	249	294	82	1	0	2
"CHRNA5"	294	59	186	590	445	449	325	1085	598	608
"CHRNA6"	167	71	160	6	4	4	2	0	0	0
"CHRNA7"	0	0	0	140	155	166	91	5	1	9
"CHRNA9"	3	0	0	31	47	50	26	0	1	0
"CHRNB1"	283	201	218	538	539	580	287	87	1164	109
"CHRNB2"	13	23	32	387	351	346	167	14	11	16
"CHRNB3"	0	0	0	0	0	1	0	0	0	0
"CHRNB4"	2	0	0	158	164	156	68	33	8	28
"CHRND"	0	0	0	2	2	9	1	0	0	0
"CHRNE"	75	5	21	11	15	21	9	9	4	7
"CHRNG"	2	3	3	4	4	3	4	6	0	8
"CHST1"	3	1	0	81	68	75	50	91	1	143
"CHST10"	695	451	227	1569	1837	1589	939	485	428	589
"CHST11"	1925	458	771	631	761	667	396	188	2687	353
"CHST12"	350	69	37	472	497	434	208	455	596	911
"CHST13"	2	1	0	167	279	214	58	1	0	0
"CHST14"	507	193	171	782	994	925	416	874	709	1361
"CHST15"	162	13	78	552	609	586	334	2617	2506	3257
"CHST2"	2832	1350	694	979	877	874	437	0	690	0
"CHST3"	4	1	2	487	438	476	224	239	5550	478
"CHST4"	10	40	3	411	508	532	297	2	49	1
"CHST5"	12	6	5	14	19	23	3	10	9	28
"CHST6"	76	106	27	1761	1714	1784	782	8	998	5
"CHST7"	489	110	75	527	550	509	213	216	294	352
"CHST8"	1	1	0	511	692	677	213	86	9	217
"CHST9"	0	0	0	388	238	246	309	0	0	0
"CHST9-AS1"	2	0	0	1	3	3	1	0	2	1
"CHSY1"	898	682	672	2445	2560	2672	1751	1637	4253	1180
"CHSY3"	0	0	0	39	32	35	33	45	64	36
"CHTF18"	2022	479	217	3085	3353	3184	1036	2037	1305	5301
"CHTF8"	3935	1557	1472	4461	4099	4068	2427	6309	5930	5629
"CHTOP"	2660	833	829	3625	4010	3749	2114	5582	3862	6101
"CHUK"	1125	561	675	778	580	600	594	1496	1496	1076
"CHURC1"	1817	1217	1080	612	469	402	424	5015	1741	1741
"CHURC1-FNTB"	3	3	1	6	1	3	1	6	1	1
"CIAO1"	2024	1159	1028	2402	2364	2355	1443	4561	3524	5757
"CIAPIN1"	1764	644	825	2714	2816	2510	1701	2204	2749	2733
"CIB1"	3602	2312	1430	970	1073	898	397	5754	4942	7109
"CIB2"	69	35	39	1216	1632	1467	543	11	178	13
"CIB3"	2	0	0	0	0	0	1	38	0	24
"CIB4"	0	0	0	1	2	1	0	1	0	3
"CIC"	2633	739	335	3247	3620	3838	1617	3868	4125	7071
"CIDEA"	0	0	0	0	2	0	0	0	146	0
"CIDEB"	856	361	287	412	365	419	296	1053	581	1118
"CIDEC"	7	3	1	0	0	0	0	3	2	1
"CIDECP"	97	51	40	54	69	69	30	245	73	659
"CIITA"	8562	3063	2879	1	2	3	3	0	0	1
"CILP"	8	15	6	0	1	2	0	11	0	10
"CILP2"	47	12	5	381	476	448	133	470	29	1093
"CINP"	1095	468	479	640	673	585	315	1362	1425	1471
"CIR1"	1265	681	639	366	393	376	408	1420	1069	468
"CIRBP"	12467	5123	4130	5578	7215	6467	3569	10249	4238	8212
"CIRH1A"	4010	1157	1440	3833	3515	3246	2285	4481	4894	5152
"CISD1"	947	428	584	488	456	406	379	958	1270	571
"CISD2"	1454	763	830	1171	1547	1457	1230	1988	1918	1375
"CISD3"	524	139	239	240	384	265	104	491	1520	758
"CISH"	96	29	34	75	109	71	36	1291	177	2725
"CIT"	2326	649	845	3211	3451	3497	1903	4655	2339	5237
"CITED1"	3	1	2	24	22	18	10	15	10	11
"CITED2"	607	307	123	2118	2122	1997	1095	2706	1053	3783
"CITED4"	15	1	2	257	341	286	96	1285	2938	1570
